precio,distancia
4514.051390788205,6.775698934634644
2862.152415247787,7.346266218838204
7869.276070451298,2.7007558964803593
2378.7844755860533,7.31856322977435
5176.29479504152,4.874032143707595
2967.6074429619084,8.238722250407612
3115.9411411717547,8.002009808327198
6556.252831981528,3.9523325186523497
7477.317465089256,1.9419691943235673
1113.215257090982,9.25399093892154
4695.485895726041,6.140678279980444
2703.88439292318,9.28392436053161
7612.70361809473,2.537649089768684
6749.989911821814,3.257483127098857
476.4240287558441,9.323150204766216
7525.073170967874,3.8835254283799
1261.525427632001,8.96714981257708
5627.7101884703525,3.3493833871433
6992.140755919526,2.5500879513109167
7378.438483557694,3.7773917642271693
1000.0,2.0
