taxes,revenue
32.01605783846119,10027.644422537505
31.537881232673627,10134.377100802401
10.05573157735471,8913.921513956475
23.05284042347443,9917.936920894392
31.752012705844955,9960.083201800575
5.154176828023349,8716.131997220757
68.40205625088112,9284.432329134826
54.81073829190015,9743.261842656211
54.21177279639442,9857.145828594428
14.78230731616328,9224.956171409312
46.77076702927761,10214.753137971375
10.622877791973117,9082.029476359123
46.76940432513415,10089.12222073747
89.91735293377123,7498.3347099739385
24.926825120369877,9819.006055045622
28.965011210370594,10128.727753927484
73.8439192720146,9177.086338830524
28.56876034029763,9666.42312114075
96.6342493765565,7103.872399319194
26.834305986199347,9710.917060179712
26.825500572269622,9656.677493606438
92.81157733599787,7871.608178177983
40.686211677071235,9639.420067467468
64.35444496291346,9556.963387971782
61.17223889167642,9797.54272416092
17.843921603164848,9556.37211629381
1.9671572419455052,8179.25717719609
80.00825071863457,8261.263934966886
77.38748372788842,8619.750910670868
48.74765891240386,9811.337144675279
6.505474715987781,8705.453122834346
64.85525969816155,9445.34302915896
57.67116826699903,9668.894199538658
48.36592926519566,9981.770052186519
17.102493117842034,9107.189863833206
77.40527192531165,8679.585458640953
33.383977229420495,10141.001415038669
78.94282999731476,8585.589526788206
44.62676138644351,9866.691656319419
43.33251565514146,9933.344750586964
